category,domain_name,file_name,file_urls,files,meaning,word
n.f.,uchicago_S_Hassan,adākə̄rī,http://dsal.uchicago.edu/dictionaries/hassan/audio//00028.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00028.mp3', 'path': 'uchicago_S_Hassan/adākə̄rī.mp3', 'checksum': '1b3fcbfba83f0fa5f91fe4123f92e0b7', 'status': 'downloaded'}]",the art of acting,adākə̄rī
adv.,uchicago_S_Hassan,adalι badal,http://dsal.uchicago.edu/dictionaries/hassan/audio//00031.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00031.mp3', 'path': 'uchicago_S_Hassan/adalι badal.mp3', 'checksum': 'f035fc6e0acb071aa017bcca4358ad30', 'status': 'downloaded'}]","instead, as an alternative, as a substitute, in its place",adalι badal
n.m.,uchicago_S_Hassan,adārι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00032.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00032.mp3', 'path': 'uchicago_S_Hassan/adārι.mp3', 'checksum': '4d51a0d8ea6b9aaafd0f807b3eb80a50', 'status': 'downloaded'}]","institution, organization, department, administration, establishment",adārι
adv.,uchicago_S_Hassan,adι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00035.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00035.mp3', 'path': 'uchicago_S_Hassan/adι.mp3', 'checksum': '0d88291f0d632d835f501856bd9f31da', 'status': 'downloaded'}]","then, afterward, it follows that",adι
adv.,uchicago_S_Hassan,adι kar,http://dsal.uchicago.edu/dictionaries/hassan/audio//00036.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00036.mp3', 'path': 'uchicago_S_Hassan/adι kar.mp3', 'checksum': '0298372e9a118e7330df5ade96be3db7', 'status': 'downloaded'}]",at what time,adι kar
adj.,uchicago_S_Hassan,adnā,http://dsal.uchicago.edu/dictionaries/hassan/audio//00033.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00033.mp3', 'path': 'uchicago_S_Hassan/adnā.mp3', 'checksum': 'ff07dac19b5c282297713b454177e562', 'status': 'downloaded'}]",base-born mean,adnā
adv.,uchicago_S_Hassan,adι kǝti,http://dsal.uchicago.edu/dictionaries/hassan/audio//00037.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00037.mp3', 'path': 'uchicago_S_Hassan/adι kǝti.mp3', 'checksum': '53c9d4625431c9c0984752c7e6e1f828', 'status': 'downloaded'}]",then at or upon which place,adι kǝti
interj.,uchicago_S_Hassan,adsā,http://dsal.uchicago.edu/dictionaries/hassan/audio//00039.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00039.mp3', 'path': 'uchicago_S_Hassan/adsā.mp3', 'checksum': '09c36a392b43791e34ae23a4756e01d1', 'status': 'downloaded'}]","good, yes, well, fine, alright",adsā
adv.,uchicago_S_Hassan,adι kus,http://dsal.uchicago.edu/dictionaries/hassan/audio//00038.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00038.mp3', 'path': 'uchicago_S_Hassan/adι kus.mp3', 'checksum': '14fcff89ac29bf884483de17efb123cb', 'status': 'downloaded'}]",then who,adι kus
n.m.,uchicago_S_Hassan,abas,http://dsal.uchicago.edu/dictionaries/hassan/audio//00005.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00005.mp3', 'path': 'uchicago_S_Hassan/abas.mp3', 'checksum': '8d10e9d492e809c99ef578c08076d1f0', 'status': 'downloaded'}]","vanity, absurdity, trifling",abas
n.m.,uchicago_S_Hassan,abad,http://dsal.uchicago.edu/dictionaries/hassan/audio//00001.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00001.mp3', 'path': 'uchicago_S_Hassan/abad.mp3', 'checksum': '26ccd7950e44768bbb1adbb95852a36e', 'status': 'downloaded'}]","eternity, time without end",abad
n.m.,uchicago_S_Hassan,aḍ,http://dsal.uchicago.edu/dictionaries/hassan/audio//00041.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00041.mp3', 'path': 'uchicago_S_Hassan/aḍ.mp3', 'checksum': '895beb512fa7a6e5a5e656b107508c15', 'status': 'downloaded'}]","half, mid, semi, often signifying a portion",aḍ
adv.,uchicago_S_Hassan,advapōr,http://dsal.uchicago.edu/dictionaries/hassan/audio//00040.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00040.mp3', 'path': 'uchicago_S_Hassan/advapōr.mp3', 'checksum': 'c463ce16556d3c44b481f2785c0ca740', 'status': 'downloaded'}]","on other side, cross, to one side",advapōr
adj.,uchicago_S_Hassan,aḍcʰōv,http://dsal.uchicago.edu/dictionaries/hassan/audio//00042.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00042.mp3', 'path': 'uchicago_S_Hassan/aḍcʰōv.mp3', 'checksum': '9eb718679cf2a37c7b8ac4665575cc3e', 'status': 'downloaded'}]",uncooked,aḍcʰōv
n.m.,uchicago_S_Hassan,aḍvāns,http://dsal.uchicago.edu/dictionaries/hassan/audio//00045.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00045.mp3', 'path': 'uchicago_S_Hassan/aḍvāns.mp3', 'checksum': '07edcb780d9bb890c2bf8e73605c11fe', 'status': 'downloaded'}]",advance,aḍvāns
adj.,uchicago_S_Hassan,aḍι dod,http://dsal.uchicago.edu/dictionaries/hassan/audio//00049.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00049.mp3', 'path': 'uchicago_S_Hassan/aḍι dod.mp3', 'checksum': '57d396e2e724fe715e0acf6a88a618b0', 'status': 'downloaded'}]",half-burnt,aḍι dod
adj.,uchicago_S_Hassan,aḍlʸok,http://dsal.uchicago.edu/dictionaries/hassan/audio//00044.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00044.mp3', 'path': 'uchicago_S_Hassan/aḍlʸok.mp3', 'checksum': '82d7dabe6a74e4958a9f0aa3cb35e514', 'status': 'downloaded'}]","defective, faulty, imperfect, inadequate, lacking, incomplete",aḍlʸok
adj.,uchicago_S_Hassan,aḍι brok,http://dsal.uchicago.edu/dictionaries/hassan/audio//00046.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00046.mp3', 'path': 'uchicago_S_Hassan/aḍι brok.mp3', 'checksum': '7f4e40f4eda8880645b2b557d927883b', 'status': 'downloaded'}]",half-grinded,aḍι brok
adj.,uchicago_S_Hassan,aḍι cʸōr,http://dsal.uchicago.edu/dictionaries/hassan/audio//00048.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00048.mp3', 'path': 'uchicago_S_Hassan/aḍι cʸōr.mp3', 'checksum': 'db05639e5082051d64e7d90a56833214', 'status': 'downloaded'}]","halfwit, stupid, lunatic",aḍι cʸōr
